10471,5504784969792238,Visa,06/19
12064,5269498951259119,Visa,09/21
14733,341161534090663,Visa,10/19
19385,4716353666446,Visa,01/20
21794,5527861731933862,Visa,08/20
23125,4024007153042784,MasterCard,01/21
31364,6011096986953422,Visa,11/20
35205,5141228873304321,Visa,11/20
42183,5378392194252624,MasterCard,04/22
46397,5297494035634272,MasterCard,05/20
52375,4485301162328,Visa,03/20
54794,5515796012741518,American Express,06/19
62072,4314917154299,Visa,08/19
62119,4916361195832,Visa,02/21
64482,5394392694040462,Visa,10/20
64546,4024007165568397,Visa,03/21
67467,377539463641820,Visa,06/20
68103,4556530528337660,American Express,09/21
70955,344202339387666,Discover Card,12/19
71404,4716187797666,MasterCard,01/21
81240,4539814742989307,MasterCard,02/22
81826,5396279480158593,MasterCard,02/20
83261,4716766847825,Discover Card,05/20
85061,5312910515372689,Visa,01/21
85507,6011812003930202,MasterCard,07/21
87423,4929211188871,Visa,07/21
94691,5433349814934779,Visa,12/20
96480,4532496060598,Discover Card,01/21
99227,5349921768226037,MasterCard,02/20
99650,346776772432271,Visa,03/20
